Customer Name,Invoice Date ,Credit Terms,Actual Delay over and above Agreed Credit Terms,Invoice Currency,Invoice Amount
2,2024-01-31,30,-30.0,USD,27245.44
2,2024-01-31,30,,USD,11726.0
2,2024-01-31,30,,USD,2240.0
2,2024-01-31,30,-30.0,USD,-33802.0
2,2024-01-31,30,-30.0,USD,-27245.44
2,2024-01-31,30,,USD,33802.0
2,2024-01-31,30,,USD,27245.44
2,2024-01-31,30,,USD,15000.0
2,2024-01-31,30,,USD,26100.0
2,2024-01-31,30,,USD,1119556.0
2,2024-01-31,30,,USD,5226.67
2,2024-01-31,30,,USD,20416.67
2,2024-01-31,30,,USD,497839.99
2,2024-01-31,30,,USD,385949.8
2,2024-01-31,30,,USD,127264.0
2,2024-01-31,30,,USD,192044.0
2,2024-01-31,30,,USD,268549.05
2,2024-01-31,30,,USD,7647.0
2,2024-01-31,30,,USD,982458.73
2,2024-01-31,30,,USD,60433.34
2,2024-01-31,30,,USD,105303.33
3,2023-10-30,60,-16.0,USD,11112.0
3,2023-10-31,60,-17.0,GBP,20165.43
3,2023-10-31,60,-15.0,GBP,4207.2
3,2023-10-31,60,-17.0,GBP,44585.42
3,2023-10-31,60,-17.0,GBP,62589.58
3,2023-11-17,60,-27.0,GBP,10353.14
3,2023-11-30,60,-29.0,GBP,5256.14
3,2023-11-30,60,-29.0,GBP,46619.71
3,2023-11-30,60,-29.0,GBP,59422.36
3,2023-11-30,60,-29.0,GBP,10969.34
3,2023-12-31,60,,GBP,46689.48
3,2023-12-31,60,,GBP,10985.76
3,2023-12-31,60,,GBP,46221.57
3,2023-12-31,60,,GBP,4577.4
3,2024-01-31,60,,GBP,46509.55
3,2024-01-31,60,,GBP,66141.85
4,2023-10-31,30,-15.0,USD,16720.0
4,2023-10-31,30,12.0,USD,3015.81
4,2023-10-31,30,12.0,USD,16845.84
4,2023-10-31,30,41.0,USD,6156.0
4,2023-10-31,30,-15.0,USD,5400.0
4,2023-10-31,30,12.0,USD,900.0
4,2023-10-31,30,-15.0,USD,17600.0
4,2023-10-31,30,-15.0,USD,14080.0
4,2023-10-31,30,-15.0,USD,19360.0
4,2023-10-31,30,12.0,USD,29040.0
4,2023-10-31,30,41.0,USD,21525.24
4,2023-10-31,30,12.0,USD,16720.0
4,2023-10-31,30,12.0,USD,15909.96
4,2023-10-31,30,-16.0,USD,11440.0
4,2023-10-31,30,-16.0,USD,5643.0
4,2023-10-31,30,-17.0,USD,4860.0
4,2023-10-31,30,41.0,USD,5130.0
4,2023-10-31,30,-16.0,USD,5760.0
4,2023-10-31,30,-17.0,USD,6048.0
4,2023-10-31,30,-16.0,USD,5184.0
4,2023-10-31,30,-17.0,USD,5985.0
4,2023-10-31,30,13.0,USD,6156.0
4,2023-10-31,30,-17.0,USD,5130.0
4,2023-10-31,30,-17.0,USD,5040.0
4,2023-10-31,30,-17.0,USD,5760.0
4,2023-10-31,30,68.0,USD,2700.0
4,2023-10-31,30,-17.0,USD,7560.0
4,2023-10-31,30,-17.0,USD,5760.0
4,2023-10-31,30,49.0,USD,4860.0
4,2023-10-31,30,-17.0,USD,4770.0
4,2023-10-31,30,7.0,USD,6318.0
4,2023-10-31,30,-17.0,USD,5310.0
